MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Shaun Shivers,RB,Indiana,5051,187,0858,2900,6968,4.51,14,7.12,4.45,31.5,0902
Luke Haggard,OT,Indiana,6061,302,1018,3318,8048,5.17,23,7.75,--,28,0900
Demarcus Elliott,IDL,Indiana,6015,307,0938,3378,8000,5.03,19,7.64,4.60,28,0810
Alfred Bryant,EDGE,Indiana,6011,245,0928,3300,7800,4.99,--,7.00,4.51,26.5,0808
James Head Jr.,EDGE,Indiana,6032,256,1000,3378,7868,5.02,19,7.64,4.71,30,0908
Bradley Jennings Jr.,LB,Indiana,6004,228,0918,3148,7668,4.88,20,7.45,4.60,31,0902
Cam Jones,LB,Indiana,6012,227,0948,3128,7718,4.61,--,7.30,4.40,--,--
Tiawan Mullen,CB,Indiana,5084,181,0828,3038,7878,4.42,19,7.00,4.41,32,1000
Jaylin Williams,CB,Indiana,5096,184,0918,2978,7168,4.45,13,7.01,4.20,34.5,0911
Bryant Fitzgerald,S,Indiana,5100,206,0928,3068,7438,4.72,--,--,--,30.5,0909
Jonathan Haynes,S,Indiana,5112,204,0948,3100,7600,4.65,15,7.40,4.64,35,1003
Devon Matthews,S,Indiana,6002,203,0978,3228,7858,4.55,--,7.01,4.28,36.5,1004
Francis Bemiy,EDGE,Southern Utah,6033,253,0928,3518,8128,5.03,--,7.39,4.58,31.5,0908
Jake Gerardi,P,Southern Utah,6041,246,0948,3138,7600,DID NOT TEST - POSITIONAL ONLY,,,,,
Malaki Malaki,LB,Utah Tech,6000,228,1000,3128,7478,4.83,16,7.06,4.52,33.5,0904
Kaejin Smith-Bejgrowicz,LB,Utah Tech,5112,230,0958,3148,7748,4.87,14,7.27,4.58,29,0902
Darrius Nash,S,Utah Tech,6005,205,0900,3128,7578,4.56,6,7.02,4.27,36,0909
Colby Williams,S,Utah Tech,5092,205,0968,3148,7668,4.54,13,6.94,4.32,35,1003
Ryan Young,RB,Columbia,5095,219,0900,2938,7078,4.75,14,7.31,4.65,29.5,0901
Fara'ad McCombs,S,Columbia,5106,181,0900,3068,7428,4.87,3,7.15,4.50,29.5,0904
Thomas Greaney,TE,Albany,6056,249,1000,3248,7958,4.81,16,7.28,4.36,33,0904
Tim DeMorat,QB,Fordham,6034,219,0948,3148,7448,4.86,--,7.25,4.40,33.5,0910
Fotis Kokosioulis,WR,Fordham,5086,185,0978,2968,7018,4.61,19,7.00,4.15,32,0908
Phil Saleh,OT,Fordham,6037,303,0978,3200,7818,5.36,18,7.62,4.78,25.5,0805
Ryan Greenhagen,LB,Fordham,6011,242,0868,3038,7500,4.78,30,7.12,4.32,34.5,0909
Teddy Wright,S,Marist,5107,224,1028,3128,7818,4.96,17,7.62,4.53,29,0811
Devonte Myles,S,New Haven,5111,196,0828,2978,7500,4.75,12,7.15,4.36,32.5,0910
Jacky Chen,OT,Pace,6052,299,1000,3448,8068,5.43,24,7.90,4.74,29,0810
